_mm256_add_pd,VADDPD
_mm_max_epi64,VPMAXSQ
_mm256_mask_max_epu32,VPMAXUD
_mm256_maskz_max_epu32,VPMAXUD
_mm_mask_max_epu32,VPMAXUD
_mm_maskz_max_epu32,VPMAXUD
_mm256_mask_max_epu64,VPMAXUQ
_mm256_maskz_max_epu64,VPMAXUQ
_mm256_max_epu64,VPMAXUQ
_mm_mask_max_epu64,VPMAXUQ
_mm_maskz_max_epu64,VPMAXUQ
_mm_max_epu64,VPMAXUQ
_mm256_mask_min_epi32,VPMINSD
_mm256_maskz_min_epi32,VPMINSD
_mm_mask_min_epi32,VPMINSD
_mm_maskz_min_epi32,VPMINSD
_mm256_mask_min_epi64,VPMINSQ
_mm256_maskz_min_epi64,VPMINSQ
_mm256_min_epi64,VPMINSQ
_mm_mask_min_epi64,VPMINSQ
_mm_maskz_min_epi64,VPMINSQ
_mm_min_epi64,VPMINSQ
_mm256_mask_min_epu32,VPMINUD
_mm256_maskz_min_epu32,VPMINUD
_mm_mask_min_epu32,VPMINUD
_mm_maskz_min_epu32,VPMINUD
_mm256_mask_min_epu64,VPMINUQ
_mm256_maskz_min_epu64,VPMINUQ
_mm256_min_epu64,VPMINUQ
_mm_mask_min_epu64,VPMINUQ
_mm_maskz_min_epu64,VPMINUQ
_mm_min_epu64,VPMINUQ
_mm256_cvtepi32_epi8,VPMOVDB
_mm256_mask_cvtepi32_epi8,VPMOVDB
_mm256_maskz_cvtepi32_epi8,VPMOVDB
_mm_cvtepi32_epi8,VPMOVDB
_mm_mask_cvtepi32_epi8,VPMOVDB
_mm_maskz_cvtepi32_epi8,VPMOVDB
_mm256_cvtepi32_epi16,VPMOVDW
_mm256_mask_cvtepi32_epi16,VPMOVDW
_mm256_maskz_cvtepi32_epi16,VPMOVDW
_mm_cvtepi32_epi16,VPMOVDW
_mm_mask_cvtepi32_epi16,VPMOVDW
_mm_maskz_cvtepi32_epi16,VPMOVDW
_mm256_cvtepi64_epi8,VPMOVQB
_mm256_mask_cvtepi64_epi8,VPMOVQB
_mm256_maskz_cvtepi64_epi8,VPMOVQB
_mm_cvtepi64_epi8,VPMOVQB
_mm_mask_cvtepi64_epi8,VPMOVQB
_mm_maskz_cvtepi64_epi8,VPMOVQB
_mm256_cvtepi64_epi32,VPMOVQD
_mm256_mask_cvtepi64_epi32,VPMOVQD
_mm256_maskz_cvtepi64_epi32,VPMOVQD
_mm_cvtepi64_epi32,VPMOVQD
_mm_mask_cvtepi64_epi32,VPMOVQD
_mm_maskz_cvtepi64_epi32,VPMOVQD
_mm256_cvtepi64_epi16,VPMOVQW
_mm256_mask_cvtepi64_epi16,VPMOVQW
_mm256_maskz_cvtepi64_epi16,VPMOVQW
_mm_cvtepi64_epi16,VPMOVQW
_mm_mask_cvtepi64_epi16,VPMOVQW
_mm_maskz_cvtepi64_epi16,VPMOVQW
_mm256_cvtsepi32_epi8,VPMOVSDB
_mm256_mask_cvtsepi32_epi8,VPMOVSDB
_mm256_maskz_cvtsepi32_epi8,VPMOVSDB
_mm_cvtsepi32_epi8,VPMOVSDB
_mm_mask_cvtsepi32_epi8,VPMOVSDB
_mm_maskz_cvtsepi32_epi8,VPMOVSDB
_mm256_cvtsepi32_epi16,VPMOVSDW
_mm256_mask_cvtsepi32_epi16,VPMOVSDW
_mm256_maskz_cvtsepi32_epi16,VPMOVSDW
_mm_cvtsepi32_epi16,VPMOVSDW
_mm_mask_cvtsepi32_epi16,VPMOVSDW
_mm_maskz_cvtsepi32_epi16,VPMOVSDW
_mm256_cvtsepi64_epi8,VPMOVSQB
_mm256_mask_cvtsepi64_epi8,VPMOVSQB
_mm256_maskz_cvtsepi64_epi8,VPMOVSQB
_mm_cvtsepi64_epi8,VPMOVSQB
_mm_mask_cvtsepi64_epi8,VPMOVSQB
_mm_maskz_cvtsepi64_epi8,VPMOVSQB
_mm256_cvtsepi64_epi32,VPMOVSQD
_mm256_mask_cvtsepi64_epi32,VPMOVSQD
_mm256_maskz_cvtsepi64_epi32,VPMOVSQD
_mm_cvtsepi64_epi32,VPMOVSQD
_mm_mask_cvtsepi64_epi32,VPMOVSQD
_mm_maskz_cvtsepi64_epi32,VPMOVSQD
_mm256_cvtsepi64_epi16,VPMOVSQW
_mm256_mask_cvtsepi64_epi16,VPMOVSQW
_mm256_maskz_cvtsepi64_epi16,VPMOVSQW
_mm_cvtsepi64_epi16,VPMOVSQW
_mm_mask_cvtsepi64_epi16,VPMOVSQW
_mm_maskz_cvtsepi64_epi16,VPMOVSQW
_mm256_mask_cvtepi8_epi32,VPMOVSXBD
_mm256_maskz_cvtepi8_epi32,VPMOVSXBD
_mm_mask_cvtepi8_epi32,VPMOVSXBD
_mm_maskz_cvtepi8_epi32,VPMOVSXBD
_mm256_mask_cvtepi8_epi64,VPMOVSXBQ
_mm256_maskz_cvtepi8_epi64,VPMOVSXBQ
_mm_mask_cvtepi8_epi64,VPMOVSXBQ
_mm_maskz_cvtepi8_epi64,VPMOVSXBQ
_mm256_mask_cvtepi32_epi64,VPMOVSXDQ
_mm256_maskz_cvtepi32_epi64,VPMOVSXDQ
_mm_mask_cvtepi32_epi64,VPMOVSXDQ
_mm_maskz_cvtepi32_epi64,VPMOVSXDQ
_mm256_mask_cvtepi16_epi32,VPMOVSXWD
_mm256_maskz_cvtepi16_epi32,VPMOVSXWD
_mm_mask_cvtepi16_epi32,VPMOVSXWD
_mm_maskz_cvtepi16_epi32,VPMOVSXWD
_mm256_mask_cvtepi16_epi64,VPMOVSXWQ
_mm256_maskz_cvtepi16_epi64,VPMOVSXWQ
_mm_mask_cvtepi16_epi64,VPMOVSXWQ
_mm_maskz_cvtepi16_epi64,VPMOVSXWQ
_mm256_cvtusepi32_epi8,VPMOVUSDB
_mm256_mask_cvtusepi32_epi8,VPMOVUSDB
_mm256_maskz_cvtusepi32_epi8,VPMOVUSDB
_mm_cvtusepi32_epi8,VPMOVUSDB
_mm_mask_cvtusepi32_epi8,VPMOVUSDB
_mm_maskz_cvtusepi32_epi8,VPMOVUSDB
_mm256_cvtusepi32_epi16,VPMOVUSDW
_mm256_mask_cvtusepi32_epi16,VPMOVUSDW
_mm256_maskz_cvtusepi32_epi16,VPMOVUSDW
_mm_cvtusepi32_epi16,VPMOVUSDW
_mm_mask_cvtusepi32_epi16,VPMOVUSDW
_mm_maskz_cvtusepi32_epi16,VPMOVUSDW
_mm256_cvtusepi64_epi8,VPMOVUSQB
_mm256_mask_cvtusepi64_epi8,VPMOVUSQB
_mm256_maskz_cvtusepi64_epi8,VPMOVUSQB
_mm_cvtusepi64_epi8,VPMOVUSQB
_mm_mask_cvtusepi64_epi8,VPMOVUSQB
_mm_maskz_cvtusepi64_epi8,VPMOVUSQB
_mm256_cvtusepi64_epi32,VPMOVUSQD
_mm256_mask_cvtusepi64_epi32,VPMOVUSQD
_mm256_maskz_cvtusepi64_epi32,VPMOVUSQD
_mm_cvtusepi64_epi32,VPMOVUSQD
_mm_mask_cvtusepi64_epi32,VPMOVUSQD
_mm_maskz_cvtusepi64_epi32,VPMOVUSQD
_mm256_cvtusepi64_epi16,VPMOVUSQW
_mm256_mask_cvtusepi64_epi16,VPMOVUSQW
_mm256_maskz_cvtusepi64_epi16,VPMOVUSQW
_mm_cvtusepi64_epi16,VPMOVUSQW
_mm_mask_cvtusepi64_epi16,VPMOVUSQW
_mm_maskz_cvtusepi64_epi16,VPMOVUSQW
_mm256_mask_cvtepu8_epi32,VPMOVZXBD
_mm256_maskz_cvtepu8_epi32,VPMOVZXBD
_mm_mask_cvtepu8_epi32,VPMOVZXBD
_mm_maskz_cvtepu8_epi32,VPMOVZXBD
_mm256_mask_cvtepu8_epi64,VPMOVZXBQ
_mm256_maskz_cvtepu8_epi64,VPMOVZXBQ
_mm_mask_cvtepu8_epi64,VPMOVZXBQ
_mm_maskz_cvtepu8_epi64,VPMOVZXBQ
_mm256_mask_cvtepu32_epi64,VPMOVZXDQ
_mm256_maskz_cvtepu32_epi64,VPMOVZXDQ
_mm_mask_cvtepu32_epi64,VPMOVZXDQ
_mm_maskz_cvtepu32_epi64,VPMOVZXDQ
_mm256_mask_cvtepu16_epi32,VPMOVZXWD
_mm256_maskz_cvtepu16_epi32,VPMOVZXWD
_mm_mask_cvtepu16_epi32,VPMOVZXWD
_mm_maskz_cvtepu16_epi32,VPMOVZXWD
_mm256_mask_cvtepu16_epi64,VPMOVZXWQ
_mm256_maskz_cvtepu16_epi64,VPMOVZXWQ
_mm_mask_cvtepu16_epi64,VPMOVZXWQ
_mm_maskz_cvtepu16_epi64,VPMOVZXWQ
_mm256_mask_mul_epi32,VPMULDQ
_mm256_maskz_mul_epi32,VPMULDQ
_mm_mask_mul_epi32,VPMULDQ
_mm_maskz_mul_epi32,VPMULDQ
_mm256_mask_mullo_epi32,VPMULLD
_mm256_maskz_mullo_epi32,VPMULLD
_mm512_maskz_mullo_epi32,VPMULLD
_mm_mask_mullo_epi32,VPMULLD
_mm_maskz_mullo_epi32,VPMULLD
_mm256_mask_mul_epu32,VPMULUDQ
_mm256_maskz_mul_epu32,VPMULUDQ
_mm_mask_mul_epu32,VPMULUDQ
_mm_maskz_mul_epu32,VPMULUDQ
_mm256_mask_or_epi32,VPORD
_mm256_maskz_or_epi32,VPORD
_mm_mask_or_epi32,VPORD
_mm_maskz_or_epi32,VPORD
_mm256_mask_or_epi64,VPORQ
_mm256_maskz_or_epi64,VPORQ
_mm_mask_or_epi64,VPORQ
_mm_maskz_or_epi64,VPORQ
_mm256_mask_rol_epi32,VPROLD
_mm256_maskz_rol_epi32,VPROLD
_mm256_rol_epi32,VPROLD
_mm_mask_rol_epi32,VPROLD
_mm_maskz_rol_epi32,VPROLD
_mm_rol_epi32,VPROLD
_mm256_mask_rol_epi64,VPROLQ
_mm256_maskz_rol_epi64,VPROLQ
_mm256_rol_epi64,VPROLQ
_mm_mask_rol_epi64,VPROLQ
_mm_maskz_rol_epi64,VPROLQ
_mm_rol_epi64,VPROLQ
_mm256_mask_rolv_epi32,VPROLVD
_mm256_maskz_rolv_epi32,VPROLVD
_mm256_rolv_epi32,VPROLVD
_mm_mask_rolv_epi32,VPROLVD
_mm_maskz_rolv_epi32,VPROLVD
_mm_rolv_epi32,VPROLVD
_mm256_mask_rolv_epi64,VPROLVQ
_mm256_maskz_rolv_epi64,VPROLVQ
_mm256_rolv_epi64,VPROLVQ
_mm_mask_rolv_epi64,VPROLVQ
_mm_maskz_rolv_epi64,VPROLVQ
_mm_rolv_epi64,VPROLVQ
_mm256_mask_ror_epi32,VPRORD
_mm256_maskz_ror_epi32,VPRORD
_mm256_ror_epi32,VPRORD
_mm_mask_ror_epi32,VPRORD
_mm_maskz_ror_epi32,VPRORD
_mm_ror_epi32,VPRORD
_mm256_mask_ror_epi64,VPRORQ
_mm256_maskz_ror_epi64,VPRORQ
_mm256_ror_epi64,VPRORQ
_mm_mask_ror_epi64,VPRORQ
_mm_maskz_ror_epi64,VPRORQ
_mm_ror_epi64,VPRORQ
_mm256_mask_rorv_epi32,VPRORVD
_mm256_maskz_rorv_epi32,VPRORVD
_mm256_rorv_epi32,VPRORVD
_mm_mask_rorv_epi32,VPRORVD
_mm_maskz_rorv_epi32,VPRORVD
_mm_rorv_epi32,VPRORVD
_mm256_mask_rorv_epi64,VPRORVQ
_mm256_maskz_rorv_epi64,VPRORVQ
_mm256_rorv_epi64,VPRORVQ
_mm_mask_rorv_epi64,VPRORVQ
_mm_maskz_rorv_epi64,VPRORVQ
_mm_rorv_epi64,VPRORVQ
_mm256_mask_shuffle_epi32,VPSHUFD
_mm256_maskz_shuffle_epi32,VPSHUFD
_mm_mask_shuffle_epi32,VPSHUFD
_mm_maskz_shuffle_epi32,VPSHUFD
_mm256_mask_sll_epi32,VPSLLD
_mm256_mask_slli_epi32,VPSLLD
_mm256_maskz_sll_epi32,VPSLLD
_mm256_maskz_slli_epi32,VPSLLD
_mm_mask_sll_epi32,VPSLLD
_mm_mask_slli_epi32,VPSLLD
_mm_maskz_sll_epi32,VPSLLD
_mm_maskz_slli_epi32,VPSLLD
_mm256_mask_sll_epi64,VPSLLQ
_mm256_mask_slli_epi64,VPSLLQ
_mm256_maskz_sll_epi64,VPSLLQ
_mm256_maskz_slli_epi64,VPSLLQ
_mm_mask_sll_epi64,VPSLLQ
_mm_mask_slli_epi64,VPSLLQ
_mm_maskz_sll_epi64,VPSLLQ
_mm_maskz_slli_epi64,VPSLLQ
_mm256_mask_sllv_epi32,VPSLLVD
_mm256_maskz_sllv_epi32,VPSLLVD
_mm_mask_sllv_epi32,VPSLLVD
_mm_maskz_sllv_epi32,VPSLLVD
_mm256_mask_sllv_epi64,VPSLLVQ
_mm256_maskz_sllv_epi64,VPSLLVQ
_mm_mask_sllv_epi64,VPSLLVQ
_mm_maskz_sllv_epi64,VPSLLVQ
_mm256_mask_sra_epi32,VPSRAD
_mm256_mask_srai_epi32,VPSRAD
_mm256_maskz_sra_epi32,VPSRAD
_mm256_maskz_srai_epi32,VPSRAD
_mm_mask_sra_epi32,VPSRAD
_mm_mask_srai_epi32,VPSRAD
_mm_maskz_sra_epi32,VPSRAD
_mm_maskz_srai_epi32,VPSRAD
_mm256_mask_sra_epi64,VPSRAQ
_mm256_mask_srai_epi64,VPSRAQ
_mm256_maskz_sra_epi64,VPSRAQ
_mm256_maskz_srai_epi64,VPSRAQ
_mm256_sra_epi64,VPSRAQ
_mm256_srai_epi64,VPSRAQ
_mm_mask_sra_epi64,VPSRAQ
_mm_mask_srai_epi64,VPSRAQ
_mm_maskz_sra_epi64,VPSRAQ
_mm_maskz_srai_epi64,VPSRAQ
_mm_sra_epi64,VPSRAQ
_mm_srai_epi64,VPSRAQ
_mm256_mask_srav_epi32,VPSRAVD
_mm256_maskz_srav_epi32,VPSRAVD
_mm_mask_srav_epi32,VPSRAVD
_mm_maskz_srav_epi32,VPSRAVD
_mm256_mask_srav_epi64,VPSRAVQ
_mm256_maskz_srav_epi64,VPSRAVQ
_mm256_srav_epi64,VPSRAVQ
_mm_mask_srav_epi64,VPSRAVQ
_mm_maskz_srav_epi64,VPSRAVQ
_mm_srav_epi64,VPSRAVQ
_mm256_mask_srl_epi32,VPSRLD
_mm256_mask_srli_epi32,VPSRLD
_mm256_maskz_srl_epi32,VPSRLD
_mm256_maskz_srli_epi32,VPSRLD
_mm_mask_srl_epi32,VPSRLD
_mm_mask_srli_epi32,VPSRLD
_mm_maskz_srl_epi32,VPSRLD
_mm_maskz_srli_epi32,VPSRLD
_mm256_mask_srl_epi64,VPSRLQ
_mm256_mask_srli_epi64,VPSRLQ
_mm256_maskz_srl_epi64,VPSRLQ
_mm256_maskz_srli_epi64,VPSRLQ
_mm_mask_srl_epi64,VPSRLQ
_mm_mask_srli_epi64,VPSRLQ
_mm_maskz_srl_epi64,VPSRLQ
_mm_maskz_srli_epi64,VPSRLQ
_mm256_mask_srlv_epi32,VPSRLVD
_mm256_maskz_srlv_epi32,VPSRLVD
_mm_mask_srlv_epi32,VPSRLVD
_mm_maskz_srlv_epi32,VPSRLVD
_mm256_mask_srlv_epi64,VPSRLVQ
_mm256_maskz_srlv_epi64,VPSRLVQ
_mm_mask_srlv_epi64,VPSRLVQ
_mm_maskz_srlv_epi64,VPSRLVQ
_mm256_mask_sub_epi32,VPSUBD
_mm256_maskz_sub_epi32,VPSUBD
_mm_mask_sub_epi32,VPSUBD
_mm_maskz_sub_epi32,VPSUBD
_mm256_mask_sub_epi64,VPSUBQ
_mm256_maskz_sub_epi64,VPSUBQ
_mm_mask_sub_epi64,VPSUBQ
_mm_maskz_sub_epi64,VPSUBQ
_mm256_mask_test_epi32_mask,VPTESTMD
_mm256_test_epi32_mask,VPTESTMD
_mm_mask_test_epi32_mask,VPTESTMD
_mm_test_epi32_mask,VPTESTMD
_mm256_mask_test_epi64_mask,VPTESTMQ
_mm256_test_epi64_mask,VPTESTMQ
_mm_mask_test_epi64_mask,VPTESTMQ
_mm_test_epi64_mask,VPTESTMQ
_mm256_mask_testn_epi32_mask,VPTESTNMD
_mm256_testn_epi32_mask,VPTESTNMD
_mm_mask_testn_epi32_mask,VPTESTNMD
_mm_testn_epi32_mask,VPTESTNMD
_mm256_mask_testn_epi64_mask,VPTESTNMQ
_mm256_testn_epi64_mask,VPTESTNMQ
_mm_mask_testn_epi64_mask,VPTESTNMQ
_mm_testn_epi64_mask,VPTESTNMQ
_mm256_mask_unpackhi_epi32,VPUNPCKHDQ
_mm256_maskz_unpackhi_epi32,VPUNPCKHDQ
_mm_mask_unpackhi_epi32,VPUNPCKHDQ
_mm_maskz_unpackhi_epi32,VPUNPCKHDQ
_mm256_mask_unpackhi_epi64,VPUNPCKHQDQ
_mm256_maskz_unpackhi_epi64,VPUNPCKHQDQ
_mm_mask_unpackhi_epi64,VPUNPCKHQDQ
_mm_maskz_unpackhi_epi64,VPUNPCKHQDQ
_mm256_mask_unpacklo_epi32,VPUNPCKLDQ
_mm256_maskz_unpacklo_epi32,VPUNPCKLDQ
_mm_mask_unpacklo_epi32,VPUNPCKLDQ
_mm_maskz_unpacklo_epi32,VPUNPCKLDQ
_mm256_mask_unpacklo_epi64,VPUNPCKLQDQ
_mm256_maskz_unpacklo_epi64,VPUNPCKLQDQ
_mm_mask_unpacklo_epi64,VPUNPCKLQDQ
_mm_maskz_unpacklo_epi64,VPUNPCKLQDQ
_mm256_mask_xor_epi32,VPXORD
_mm256_maskz_xor_epi32,VPXORD
_mm_mask_xor_epi32,VPXORD
_mm_maskz_xor_epi32,VPXORD
_mm256_mask_xor_epi64,VPXORQ
_mm256_maskz_xor_epi64,VPXORQ
_mm_mask_xor_epi64,VPXORQ
_mm_maskz_xor_epi64,VPXORQ
_mm256_mask_rcp14_pd,VRCP14PD
_mm256_maskz_rcp14_pd,VRCP14PD
_mm256_rcp14_pd,VRCP14PD
_mm_mask_rcp14_pd,VRCP14PD
_mm_maskz_rcp14_pd,VRCP14PD
_mm_rcp14_pd,VRCP14PD
_mm256_mask_rcp14_ps,VRCP14PS
_mm256_maskz_rcp14_ps,VRCP14PS
_mm256_rcp14_ps,VRCP14PS
_mm_mask_rcp14_ps,VRCP14PS
_mm_maskz_rcp14_ps,VRCP14PS
_mm_rcp14_ps,VRCP14PS
_mm256_mask_rsqrt14_pd,VRSQRT14PD
_mm256_maskz_rsqrt14_pd,VRSQRT14PD
_mm_mask_rsqrt14_pd,VRSQRT14PD
_mm_maskz_rsqrt14_pd,VRSQRT14PD
_mm256_mask_rsqrt14_ps,VRSQRT14PS
_mm256_maskz_rsqrt14_ps,VRSQRT14PS
_mm_mask_rsqrt14_ps,VRSQRT14PS
_mm_maskz_rsqrt14_ps,VRSQRT14PS
_mm256_mask_shuffle_f32x4,VSHUFF32X4
_mm256_maskz_shuffle_f32x4,VSHUFF32X4
_mm256_shuffle_f32x4,VSHUFF32X4
_mm256_mask_shuffle_f64x2,VSHUFF64X2
_mm256_maskz_shuffle_f64x2,VSHUFF64X2
_mm256_shuffle_f64x2,VSHUFF64X2
_mm256_mask_shuffle_i32x4,VSHUFI32X4
_mm256_maskz_shuffle_i32x4,VSHUFI32X4
_mm256_shuffle_i32x4,VSHUFI32X4
_mm256_mask_shuffle_i64x2,VSHUFI64X2
_mm256_maskz_shuffle_i64x2,VSHUFI64X2
_mm256_shuffle_i64x2,VSHUFI64X2
_mm256_mask_shuffle_pd,VSHUFPD
_mm256_maskz_shuffle_pd,VSHUFPD
_mm_mask_shuffle_pd,VSHUFPD
_mm_maskz_shuffle_pd,VSHUFPD
_mm256_mask_shuffle_ps,VSHUFPS
_mm256_maskz_shuffle_ps,VSHUFPS
_mm_mask_shuffle_ps,VSHUFPS
_mm_maskz_shuffle_ps,VSHUFPS
_mm256_mask_sub_pd,VSUBPD
_mm256_maskz_sub_pd,VSUBPD
_mm_mask_sub_pd,VSUBPD
_mm_maskz_sub_pd,VSUBPD
_mm256_mask_sub_ps,VSUBPS
_mm256_maskz_sub_ps,VSUBPS
_mm_mask_sub_ps,VSUBPS
_mm_maskz_sub_ps,VSUBPS
_mm256_mask_unpackhi_pd,VUNPCKHPD
_mm256_maskz_unpackhi_pd,VUNPCKHPD
_mm_mask_unpackhi_pd,VUNPCKHPD
_mm_maskz_unpackhi_pd,VUNPCKHPD
_mm256_mask_unpackhi_ps,VUNPCKHPS
_mm256_maskz_unpackhi_ps,VUNPCKHPS
_mm_mask_unpackhi_ps,VUNPCKHPS
_mm_maskz_unpackhi_ps,VUNPCKHPS
_mm256_mask_unpacklo_pd,VUNPCKLPD
_mm256_maskz_unpacklo_pd,VUNPCKLPD
_mm_mask_unpacklo_pd,VUNPCKLPD
_mm_maskz_unpacklo_pd,VUNPCKLPD
_mm256_mask_unpacklo_ps,VUNPCKLPS
_mm256_maskz_unpacklo_ps,VUNPCKLPS
_mm_mask_unpacklo_ps,VUNPCKLPS
_mm_maskz_unpacklo_ps,VUNPCKLPS
_mm256_xor_epi64,VPXORQ
_mm256_xor_epi32,VPXORD
_mm_xor_epi64,VPXORQ
_mm_xor_epi32,VPXORD
_mm256_or_epi64,VPORQ
_mm256_or_epi32,VPORD
_mm_or_epi64,VPORQ
_mm_or_epi32,VPORD
_kand_mask16,KANDW
_kandn_mask16,KANDNW
_knot_mask16,KNOTW
_kor_mask16,KORW
_kxnor_mask16,KXNORW
_kxor_mask16,KXORW
_kshiftli_mask16,KSHIFTLW
_kshiftri_mask16,KSHIFTRW
_kortestz_mask16_u8,KORTESTW
_kortestc_mask16_u8,KORTESTW
_cvtmask16_u32,KMOVW
_cvtu32_mask16,KMOVW
_mm512_kandn,KANDNW
_mm512_kand,KANDW
_mm512_kmov,KMOVW
_mm512_knot,KNOTW
_mm512_kor,KORW
_mm512_kunpackb,KUNPCKBW
_mm512_kxnor,KXNORW
_mm512_kxor,KXORW
_mm512_maskz_add_pd,VADDPD
_mm512_maskz_add_ps,VADDPS
_mm_mask_add_sd,VADDSD
_mm_maskz_add_sd,VADDSD
_mm_mask_add_ss,VADDSS
_mm_maskz_add_ss,VADDSS
_mm512_maskz_alignr_epi32,VALIGND
_mm512_alignr_epi64,VALIGNQ
_mm512_mask_alignr_epi64,VALIGNQ
_mm512_maskz_alignr_epi64,VALIGNQ
_mm512_broadcast_f32x4,VBROADCASTF32X4
_mm512_mask_broadcast_f32x4,VBROADCASTF32X4
_mm512_maskz_broadcast_f32x4,VBROADCASTF32X4
_mm512_broadcast_f64x4,VBROADCASTF64X4
_mm512_mask_broadcast_f64x4,VBROADCASTF64X4
_mm512_maskz_broadcast_f64x4,VBROADCASTF64X4
_mm512_broadcast_i32x4,VBROADCASTI32X4
_mm512_mask_broadcast_i32x4,VBROADCASTI32X4
_mm512_maskz_broadcast_i32x4,VBROADCASTI32X4
_mm512_broadcast_i64x4,VBROADCASTI64X4
_mm512_mask_broadcast_i64x4,VBROADCASTI64X4
_mm512_maskz_broadcast_i64x4,VBROADCASTI64X4
_mm512_broadcastsd_pd,VBROADCASTSD
_mm512_mask_broadcastsd_pd,VBROADCASTSD
_mm512_maskz_broadcastsd_pd,VBROADCASTSD
_mm512_broadcastss_ps,VBROADCASTSS
_mm512_mask_broadcastss_ps,VBROADCASTSS
_mm512_maskz_broadcastss_ps,VBROADCASTSS
_mm512_mask_compress_pd,VCOMPRESSPD
_mm512_maskz_compress_pd,VCOMPRESSPD
_mm512_mask_compress_ps,VCOMPRESSPS
_mm512_maskz_compress_ps,VCOMPRESSPS
_mm512_cvtepi32_pd,VCVTDQ2PD
_mm512_mask_cvtepi32_pd,VCVTDQ2PD
_mm512_maskz_cvtepi32_pd,VCVTDQ2PD
_mm512_cvtepi32_ps,VCVTDQ2PS
_mm512_mask_cvtepi32_ps,VCVTDQ2PS
_mm512_maskz_cvtepi32_ps,VCVTDQ2PS
_mm512_cvtpd_epi32,VCVTPD2DQ
_mm512_mask_cvtpd_epi32,VCVTPD2DQ
_mm512_maskz_cvtpd_epi32,VCVTPD2DQ
_mm512_cvtpd_ps,VCVTPD2PS
_mm512_mask_cvtpd_ps,VCVTPD2PS
_mm512_maskz_cvtpd_ps,VCVTPD2PS
_mm512_cvtpd_epu32,VCVTPD2UDQ
_mm512_mask_cvtpd_epu32,VCVTPD2UDQ
_mm512_maskz_cvtpd_epu32,VCVTPD2UDQ
_mm512_cvtps_epi32,VCVTPS2DQ
_mm512_mask_cvtps_epi32,VCVTPS2DQ
_mm512_maskz_cvtps_epi32,VCVTPS2DQ
_mm512_cvtps_pd,VCVTPS2PD
_mm512_mask_cvtps_pd,VCVTPS2PD
_mm512_maskz_cvtps_pd,VCVTPS2PD
_mm512_cvtps_epu32,VCVTPS2UDQ
_mm512_mask_cvtps_epu32,VCVTPS2UDQ
_mm512_maskz_cvtps_epu32,VCVTPS2UDQ
_mm_cvtsd_i32,VCVTSD2SI
_mm_cvtsd_i64,VCVTSD2SI
_mm_mask_cvtsd_ss,VCVTSD2SS
_mm_maskz_cvtsd_ss,VCVTSD2SS
_mm_cvtsd_u32,VCVTSD2USI
_mm_cvtsd_u64,VCVTSD2USI
_mm_cvti32_sd,VCVTSI2SD
_mm_cvti64_sd,VCVTSI2SD
_mm_cvti32_ss,VCVTSI2SS
_mm_cvti64_ss,VCVTSI2SS
_mm_mask_cvtss_sd,VCVTSS2SD
_mm_maskz_cvtss_sd,VCVTSS2SD
_mm_cvtss_i32,VCVTSS2SI
_mm_cvtss_i64,VCVTSS2SI
_mm_cvtss_u32,VCVTSS2USI
_mm_cvtss_u64,VCVTSS2USI
_mm512_cvttpd_epi32,VCVTTPD2DQ
_mm512_mask_cvttpd_epi32,VCVTTPD2DQ
_mm512_maskz_cvttpd_epi32,VCVTTPD2DQ
_mm512_cvttpd_epu32,VCVTTPD2UDQ
_mm512_mask_cvttpd_epu32,VCVTTPD2UDQ
_mm512_maskz_cvttpd_epu32,VCVTTPD2UDQ
_mm512_cvttps_epi32,VCVTTPS2DQ
_mm512_mask_cvttps_epi32,VCVTTPS2DQ
_mm512_maskz_cvttps_epi32,VCVTTPS2DQ
_mm512_cvttps_epu32,VCVTTPS2UDQ
_mm512_mask_cvttps_epu32,VCVTTPS2UDQ
_mm512_maskz_cvttps_epu32,VCVTTPS2UDQ
_mm_cvttsd_i32,VCVTTSD2SI
_mm_cvttsd_i64,VCVTTSD2SI
_mm_cvttsd_u32,VCVTTSD2USI
_mm_cvttsd_u64,VCVTTSD2USI
_mm_cvttss_i32,VCVTTSS2SI
_mm_cvttss_i64,VCVTTSS2SI
_mm_cvttss_u32,VCVTTSS2USI
_mm_cvttss_u64,VCVTTSS2USI
_mm512_cvtepu32_pd,VCVTUDQ2PD
_mm512_mask_cvtepu32_pd,VCVTUDQ2PD
_mm512_maskz_cvtepu32_pd,VCVTUDQ2PD
_mm512_cvtepu32_ps,VCVTUDQ2PS
_mm512_mask_cvtepu32_ps,VCVTUDQ2PS
_mm512_maskz_cvtepu32_ps,VCVTUDQ2PS
_mm_cvtu32_sd,VCVTUSI2SD
_mm_cvtu64_sd,VCVTUSI2SD
_mm_cvtu32_ss,VCVTUSI2SS
_mm_cvtu64_ss,VCVTUSI2SS
_mm512_div_pd,VDIVPD
_mm512_mask_div_pd,VDIVPD
_mm512_maskz_div_pd,VDIVPD
_mm512_div_ps,VDIVPS
_mm512_mask_div_ps,VDIVPS
_mm512_maskz_div_ps,VDIVPS
_mm_mask_div_sd,VDIVSD
_mm_maskz_div_sd,VDIVSD
_mm_mask_div_ss,VDIVSS
_mm_maskz_div_ss,VDIVSS
_mm512_mask_expand_pd,VEXPANDPD
_mm512_maskz_expand_pd,VEXPANDPD
_mm512_mask_expand_ps,VEXPANDPS
_mm512_maskz_expand_ps,VEXPANDPS
_mm512_extractf32x4_ps,VEXTRACTF32X4
